
PZ,37-074-3712,Melli,Syms,Hacaud,5,FAILED,25,50
HEREDIA,37-074-3712,Melli,Syms,Daymont,6,FAILED,50,50
LIMON,37-074-3712,Melli,Syms,Arington,6,FAILED,45,50
COTO,37-074-3712,Melli,Syms,Fealey,10,APPROVED,9,50
PZ,37-074-3712,Melli,Syms,Portress,3,FAILED,29,50
HEREDIA,37-074-3712,Melli,Syms,Fairpool,4,FAILED,42,50
LIMON,37-074-3712,Melli,Syms,Seadon,5,FAILED,31,50
COTO,37-074-3712,Melli,Syms,Dingley,3,FAILED,45,50
PZ,37-074-3712,Melli,Syms,Kleis,8,APPROVED,34,50
HEREDIA,37-074-3712,Melli,Syms,Clemmensen,4,FAILED,1,50
LIMON,37-074-3712,Melli,Syms,Llorente,9,APPROVED,35,50
COTO,37-074-3712,Melli,Syms,Dabbes,9,APPROVED,35,50
PZ,37-074-3712,Melli,Syms,Euston,7,APPROVED,2,50
HEREDIA,37-074-3712,Melli,Syms,Barthot,6,FAILED,5,50
LIMON,37-074-3712,Melli,Syms,Peltzer,3,FAILED,15,50
COTO,37-074-3712,Melli,Syms,MacCart,8,APPROVED,26,50
PZ,37-074-3712,Melli,Syms,Ikringill,6,FAILED,29,50
HEREDIA,27-090-4318,Morey,Pawelski,Bernardelli,9,APPROVED,10,50
LIMON,27-090-4318,Morey,Pawelski,Hacaud,7,APPROVED,40,50
COTO,27-090-4318,Morey,Pawelski,Daymont,5,FAILED,21,50
PZ,27-090-4318,Morey,Pawelski,Arington,9,APPROVED,16,50
HEREDIA,27-090-4318,Morey,Pawelski,Fealey,4,FAILED,32,50
LIMON,27-090-4318,Morey,Pawelski,Portress,7,FAILED,17,50
COTO,27-090-4318,Morey,Pawelski,Fairpool,5,FAILED,49,50
PZ,27-090-4318,Morey,Pawelski,Seadon,10,APPROVED,23,50
HEREDIA,27-090-4318,Morey,Pawelski,Dingley,6,FAILED,26,50
LIMON,27-090-4318,Morey,Pawelski,Kleis,8,APPROVED,10,50
COTO,27-090-4318,Morey,Pawelski,Clemmensen,6,FAILED,44,50
PZ,27-090-4318,Morey,Pawelski,Llorente,4,FAILED,45,50
HEREDIA,27-090-4318,Morey,Pawelski,Dabbes,4,FAILED,39,50
LIMON,27-090-4318,Morey,Pawelski,Labrow,8,APPROVED,26,50
COTO,27-090-4318,Morey,Pawelski,Chessill,4,FAILED,42,50
PZ,27-090-4318,Morey,Pawelski,Pardie,4,FAILED,7,50
HEREDIA,45-982-6181,Daphna,Vass,Bernardelli,6,FAILED,24,50
LIMON,45-982-6181,Daphna,Vass,Hacaud,6,FAILED,44,50
COTO,45-982-6181,Daphna,Vass,Daymont,10,APPROVED,20,50
PZ,45-982-6181,Daphna,Vass,Arington,4,FAILED,19,50
HEREDIA,45-982-6181,Daphna,Vass,Fealey,9,APPROVED,37,50
LIMON,45-982-6181,Daphna,Vass,Portress,3,FAILED,42,50
COTO,45-982-6181,Daphna,Vass,Fairpool,5,FAILED,22,50
